Name,Location,Level
Weezing,Undella Town,51
Hitmonlee,Azalea Town,91
Voltorb,Veilstone City,72
Bellsprout,Black City,38
Charmeleon,Cianwood City,93
Zapdos,Pastoria City,39
Diglett,nil,75
Ninetales,Accumula Town,85
Slowpoke,Six Island,41
Marowak,Vermilion City,25
Clefairy,Celadon City,47
Jolteon,Sootopolis City,1
Kingler,Snowpoint City,5
Rhyhorn,Five Island,27
Grimer,Black City,21
Alakazam,Frontier Access,93
Oddish,Safari Zone Gate,10
Rapidash,Opelucid City,99
Oddish,Virbank City,78
Ninetales,Ambrette Town,22
Dewgong,Lentimas Town,77
Ditto,Mistralton City,45
Poliwag,Mossdeep City,12
Jynx,nil,65
Mewtwo,Accumula Town,27
Poliwag,Frontier Access,49
Porygon,Floaroma Town,92
Onix,Cinnabar Island,74
Pinsir,Pastoria City,15
Nidoran,Frontier Access,49
Koffing,Vaniville Town,84
Mewtwo,Three Island,15
Exeggcute,Vermilion City,1
Venusaur,Mahogany Town,15
Parasect,Rustboro City,95
Venonat,Pewter City,73
Oddish,Survival Area,5
Lapras,Camphrier Town,75
Zubat,Coumarine City,46
Pikachu,Three Island,71
Nidoqueen,Five Island,70
Poliwag,Littleroot Town,94
Gastly,Slateport City,89
Slowbro,Sootopolis City,36
Nidoran,Twinleaf Town,80
Goldeen,New Bark Town,9
Bellsprout,Pewter City,69
Poliwhirl,Viridian City,15
Arcanine,Celadon City,93
Tentacool,Safari Zone Gate,44
Hitmonlee,Oreburgh City,28
Poliwag,Petalburg City,67
Jigglypuff,Pastoria City,65
Snorlax,Resort Area,57
Ditto,Mossdeep City,67
Ekans,Cyllage City,76
Nidorina,Dendemille Town,7
Magmar,Snowpoint City,22
Squirtle,Vaniville Town,56
Staryu,Five Island,46
Parasect,Mauville City,89
Goldeen,Mauville City,9
Kingler,Dewford Town,38
Zapdos,Ever Grande City,78
Beedrill,Mistralton City,71
Tangela,Floccesy Town,82
Scyther,Hearthome City,37
Wigglytuff,Coumarine City,74
Raichu,Opelucid City,89
Ekans,Driftveil City,51
Raichu,Humilau City,98
Mewtwo,Five Island,63
Staryu,Solaceon Town,68
Exeggutor,Floccesy Town,69
Venonat,Virbank City,47
Vaporeon,Santalune City,12
Mewtwo,Pacifidlog Town,54
Pinsir,Five Island,77
Pikachu,Littleroot Town,99
Slowbro,Cerulean City,99
Moltres,Fight Area,98
Dewgong,Viridian City,53
Machoke,Fuchsia City,86
Nidorina,Cherrygrove City,80
Slowbro,Black City,99
Geodude,Three Island,73
Onix,Snowpoint City,14
Jynx,Saffron City,81
Vaporeon,Anville Town,4
Ivysaur,Virbank City,55
Cubone,Verdanturf Town,87
Golbat,Ever Grande City,41
Dragonair,Slateport City,63
Nidoking,Mossdeep City,77
Voltorb,Geosenge Town,91
Nidoran,Vaniville Town,53
Rapidash,Solaceon Town,6
Grimer,Pallet Town,96
Wigglytuff,Mahogany Town,92
Growlithe,Dendemille Town,84
Primeape,Sootopolis City,6
Weepinbell,Jubilife City,63
Seaking,Slateport City,82
Kabuto,Petalburg City,93
Gastly,Twinleaf Town,46
Vaporeon,Jubilife City,41
Raichu,Anistar City,20
Butterfree,Geosenge Town,74
Drowzee,Couriway Town,24
Arcanine,Striaton City,72
Nidorina,Driftveil City,17
Wigglytuff,Cinnabar Island,15
Oddish,Lavender Town,34
Scyther,Cherrygrove City,23
Drowzee,Vaniville Town,28
Magmar,Aspertia City,79
Golem,Mauville City,74
Metapod,Fight Area,86
Graveler,Lentimas Town,24
Kingler,Solaceon Town,84
Kakuna,Olivine City,96
Dragonair,Jubilife City,26
Caterpie,Cyllage City,27
Blastoise,Oreburgh City,71
Squirtle,Opelucid City,59
Zubat,Seven Island,38
Moltres,Coumarine City,94
Seaking,Humilau City,86
Magmar,Ambrette Town,2
Exeggcute,Kiloude City,5
Tauros,Lavender Town,16
Seel,Laverre City,11
Electabuzz,Lilycove City,16
Geodude,Sootopolis City,91
Magneton,Jubilife City,87
Vulpix,Pewter City,99
Charizard,Littleroot Town,79
Doduo,Saffron City,96
Cubone,nil,46
Pidgeot,Goldenrod City,13
Mewtwo,Sootopolis City,35
Wartortle,Six Island,1
Jolteon,Frontier Access,80
Electrode,Mossdeep City,93
Vulpix,Aspertia City,50
Horsea,Castelia City,56
Electabuzz,Three Island,68
Venusaur,Saffron City,26
Pikachu,Five Island,78
Sandshrew,Canalave City,76
Machamp,Olivine City,27
Weezing,Pewter City,41
Porygon,Aquacorde Town,53
Machop,Mistralton City,16
Hitmonchan,Cyllage City,19
Jigglypuff,Viridian City,15
Articuno,Fortree City,27
Poliwrath,Fallarbor Town,18
Kingler,Two Island,30
Horsea,Ever Grande City,26
Primeape,Kiloude City,7
Staryu,Floccesy Town,32
Parasect,Vaniville Town,17
Jigglypuff,Viridian City,68
Drowzee,Cerulean City,33
Wigglytuff,Vaniville Town,11
Moltres,Nimbasa City,11
Gengar,Snowbelle City,31
Sandslash,Resort Area,77
Magmar,Vermilion City,55
Exeggcute,Coumarine City,36
Jolteon,Aquacorde Town,8
Ekans,Slateport City,3
Pinsir,Cherrygrove City,31
Dugtrio,Striaton City,91
Nidoqueen,Anistar City,45
Aerodactyl,Seven Island,83
Haunter,Oldale Town,5
Mr.,Cherrygrove City,46
Doduo,Floccesy Town,56
Exeggcute,Anville Town,97
Gastly,Lentimas Town,80
Sandshrew,Undella Town,66
Squirtle,Slateport City,8
Golduck,Five Island,50
Nidoran,Frontier Access,1
Gyarados,Accumula Town,26
Poliwag,Lavender Town,55
Pidgeot,Blackthorn City,8
Nidoqueen,Slateport City,12
Doduo,Anistar City,56
Lickitung,Celestic Town,12
Nidoking,Hearthome City,36
Gengar,Dewford Town,38
Ninetales,Lacunosa Town,2
Nidorino,Castelia City,72
Moltres,Cerulean City,85
Mr.,Dewford Town,83
Slowbro,Virbank City,4
Wartortle,Mistralton City,93
Venomoth,Floccesy Town,36
Persian,Fallarbor Town,43
Horsea,Geosenge Town,48
Haunter,Striaton City,25
Onix,Cerulean City,29
Caterpie,Fortree City,95
Primeape,Accumula Town,20
Rattata,Mauville City,88
Venomoth,Cherrygrove City,32
Goldeen,Seven Island,41
Rhyhorn,Twinleaf Town,17
Voltorb,Snowbelle City,45
Primeape,Rustboro City,55
Seadra,Mistralton City,96
Slowpoke,Rustboro City,29
Pidgeotto,Saffron City,43
Clefairy,Aquacorde Town,38
Ekans,Santalune City,1
Ivysaur,Fallarbor Town,37
Vileplume,Anville Town,91
Jynx,Nimbasa City,83
Beedrill,Canalave City,88
Diglett,Accumula Town,19
Gyarados,Jubilife City,15
Seaking,Couriway Town,87
Magmar,Lilycove City,28
Snorlax,Resort Area,38
Mewtwo,Hearthome City,75
Venomoth,Lacunosa Town,42
Graveler,Lentimas Town,4
Beedrill,Castelia City,2
Venusaur,Azalea Town,19
Articuno,Lilycove City,33
Gloom,Pallet Town,82
Arcanine,Cherrygrove City,47
Seaking,Fuchsia City,71
Raticate,Striaton City,93
Nidoran,Six Island,91
Lapras,Virbank City,12
Poliwrath,Twinleaf Town,70
Aerodactyl,Sandgem Town,95
Psyduck,Striaton City,8
Ditto,Camphrier Town,55
Pidgeotto,Cerulean City,35
Charizard,Driftveil City,10
Articuno,nil,92
Tauros,Nimbasa City,11
Gastly,Jubilife City,33
Arcanine,Icirrus City,98
Meowth,Nimbasa City,45
Ivysaur,Snowbelle City,99
Abra,Six Island,78
Rhyhorn,Littleroot Town,60
Machop,Ambrette Town,4
Cubone,Mossdeep City,60
Shellder,Olivine City,78
Lapras,Violet City,4
Onix,Snowpoint City,13
Machoke,Solaceon Town,84
Drowzee,Three Island,35
Charmeleon,Veilstone City,91
Geodude,Hearthome City,42
Poliwag,Six Island,35
Jynx,Veilstone City,12
Pidgey,Frontier Access,54
Haunter,Accumula Town,46
Primeape,Goldenrod City,4
Tauros,Virbank City,34
Tauros,Striaton City,26
Bellsprout,Fight Area,52
Voltorb,Five Island,25
Koffing,Sandgem Town,74
Aerodactyl,Anville Town,21
Electabuzz,Nacrene City,46
Pikachu,Couriway Town,82
Grimer,Viridian City,26
Drowzee,Couriway Town,87
Doduo,White Forest,6
Rhyhorn,Cyllage City,77
Flareon,Cyllage City,98
Rapidash,Nimbasa City,30
Bellsprout,Striaton City,66
Golbat,Fuchsia City,47
Ivysaur,Celestic Town,42
Ditto,Solaceon Town,81
Nidoran,Virbank City,8
Venusaur,Cinnabar Island,70
Snorlax,Slateport City,81
Wigglytuff,Snowbelle City,42
Poliwrath,Sunyshore City,14
Ekans,Four Island,35
Haunter,Lavender Town,82
Hitmonlee,Celestic Town,88
Exeggcute,Nuvema Town,39
Dragonite,Lavaridge Town,13
Dragonair,Mauville City,18
Venomoth,White Forest,70
Golduck,Littleroot Town,83
Magnemite,Lacunosa Town,35
Staryu,Six Island,28
Hitmonlee,Slateport City,20
Arbok,Couriway Town,35
Krabby,Lavaridge Town,2
Butterfree,Verdanturf Town,13
Slowbro,Sandgem Town,91
Butterfree,Fallarbor Town,16
Ivysaur,Violet City,4
Kadabra,Vermilion City,18
Clefable,Lavender Town,40
Pidgey,Oreburgh City,13
Chansey,Couriway Town,63
Haunter,Geosenge Town,96
Growlithe,Slateport City,97
Staryu,Icirrus City,10
Clefairy,Eterna City,38
Golbat,Twinleaf Town,92
Shellder,Camphrier Town,66
Kingler,Eterna City,44
Ivysaur,Littleroot Town,50
Omastar,Snowbelle City,41
Hypno,Littleroot Town,24
Meowth,Humilau City,1
Arcanine,Eterna City,6
Kakuna,Cyllage City,73
Marowak,Castelia City,1
Arbok,Icirrus City,6
Tangela,Lavaridge Town,50
Persian,Two Island,71
Sandshrew,Two Island,63
Kangaskhan,Six Island,6
Starmie,Opelucid City,72
Kingler,Petalburg City,51
Nidoking,Couriway Town,30
Rapidash,Anistar City,35
Wigglytuff,Sootopolis City,35
Sandslash,Four Island,16
Zubat,Viridian City,85
Weepinbell,Twinleaf Town,94
Golem,Snowpoint City,49
Gengar,Vermilion City,31
Muk,Azalea Town,62
Muk,Three Island,99
Rattata,Aquacorde Town,10
Hitmonchan,Dendemille Town,39
Beedrill,Oldale Town,99
Rapidash,Opelucid City,6
Clefable,Mahogany Town,21
Growlithe,Ambrette Town,22
Tauros,Aspertia City,19
Jolteon,Twinleaf Town,51
Voltorb,Viridian City,57
Clefairy,Saffron City,72
Tentacruel,Viridian City,78
Victreebel,Celadon City,30
Flareon,Celadon City,15
Krabby,Nimbasa City,17
Poliwrath,Mauville City,51
Ekans,Mossdeep City,80
Slowpoke,Olivine City,96
Wartortle,Snowbelle City,73
Seaking,Goldenrod City,30
Shellder,Cyllage City,88
Pidgeotto,Violet City,36
Zapdos,Anville Town,97
Muk,Aquacorde Town,36
Cubone,Jubilife City,92
Graveler,Eterna City,11
Venusaur,Cianwood City,21
Flareon,Oldale Town,68
Nidoran,Saffron City,54
Nidoran,Rustboro City,99
Slowpoke,Cyllage City,49
Weezing,Fight Area,86
Blastoise,Sandgem Town,30
Doduo,New Bark Town,83
Hitmonchan,Anistar City,20
Jigglypuff,Laverre City,50
Gengar,Ecruteak City,33
Farfetch'd,One Island,16
Scyther,Vaniville Town,55
Muk,Four Island,21
Drowzee,Striaton City,85
Dodrio,Fallarbor Town,5
Weedle,Icirrus City,75
Caterpie,Hearthome City,66
Omanyte,Geosenge Town,44
Haunter,Humilau City,82
Meowth,Kiloude City,73
Hypno,Veilstone City,74
Exeggutor,Lacunosa Town,70
Victreebel,Frontier Access,22
Dodrio,Resort Area,4
Kangaskhan,Vaniville Town,3
Victreebel,Dewford Town,56
Charmeleon,Goldenrod City,64
Parasect,Oreburgh City,38
Dratini,Viridian City,74
Primeape,Vaniville Town,86
Goldeen,Aquacorde Town,14
Kakuna,Rustboro City,54
Ponyta,Pallet Town,26
Charizard,Snowpoint City,95
Snorlax,Laverre City,55
Ditto,Mahogany Town,9
Electrode,Laverre City,82
Articuno,Pallet Town,32
Hypno,Striaton City,61
Nidoking,Lacunosa Town,2
Flareon,Oldale Town,19
Tangela,Frontier Access,17
Muk,Petalburg City,62
Starmie,Santalune City,55
Magmar,Snowpoint City,28
Abra,Virbank City,38
Slowpoke,Seven Island,4
Machamp,Mossdeep City,50
Nidoking,Three Island,76
Hypno,Twinleaf Town,39
Cloyster,Azalea Town,41
Moltres,Nimbasa City,60
Gengar,Saffron City,81
Weepinbell,Rustboro City,12
Starmie,Accumula Town,44
Nidorina,Camphrier Town,37
Pidgeotto,Saffron City,35
Exeggutor,Frontier Access,88
Nidoran,Veilstone City,15
Goldeen,Lentimas Town,13
Pikachu,Couriway Town,90
Weepinbell,Lilycove City,45
Rapidash,Couriway Town,15
Nidorino,Mahogany Town,34
Pidgeotto,Accumula Town,64
Pidgeot,Castelia City,48
Scyther,Dewford Town,23
Dratini,Seven Island,63
Voltorb,Olivine City,66
Pidgey,Olivine City,53
Wigglytuff,Oreburgh City,39
Ekans,Eterna City,20
Seel,Dewford Town,70
Kakuna,Cyllage City,66
Clefairy,Virbank City,15
Nidoran,Goldenrod City,10
Jolteon,Goldenrod City,35
Charizard,Mistralton City,19
Grimer,Azalea Town,90
Zapdos,Opelucid City,34
Flareon,Verdanturf Town,52
Pidgeotto,Opelucid City,55
Graveler,Safari Zone Gate,23
Persian,Petalburg City,54
Pinsir,Three Island,72
Pidgey,Dewford Town,63
Poliwrath,Vaniville Town,39
Dratini,Ambrette Town,94
Omanyte,Nimbasa City,57
Rapidash,Lilycove City,7
Snorlax,Pewter City,16
Ekans,Cherrygrove City,35
Ninetales,Five Island,77
Articuno,Nimbasa City,2
Cubone,Survival Area,46
Pidgeotto,Five Island,91
Meowth,Nacrene City,7
Gastly,Camphrier Town,27
Kabutops,Sootopolis City,72
Growlithe,Floaroma Town,4
Sandshrew,Littleroot Town,82
Rhyhorn,Pewter City,56
Doduo,nil,83
Primeape,Pastoria City,17
Horsea,Fight Area,91
Nidoran,Lacunosa Town,1
Rhyhorn,Cyllage City,31
Hitmonchan,Vermilion City,75
Flareon,Mahogany Town,26
Staryu,Safari Zone Gate,72
Zapdos,Dendemille Town,72
Ditto,Aspertia City,85
Kadabra,Lavaridge Town,3
Golbat,nil,56
Nidoran,Castelia City,29
Zubat,Veilstone City,65
Gastly,Floccesy Town,53
Magikarp,Nacrene City,69
Parasect,Veilstone City,27
Zubat,Eterna City,93
Paras,Slateport City,79
Goldeen,Cerulean City,73
Machoke,Viridian City,59
Tauros,Olivine City,33
Raticate,Couriway Town,37
Voltorb,Virbank City,30
Scyther,Anville Town,59
Beedrill,Blackthorn City,57
Sandshrew,Fortree City,79
Charmeleon,Vermilion City,72
Rhyhorn,Aspertia City,88
Snorlax,Cinnabar Island,58
Magneton,Sunyshore City,96
Venonat,Coumarine City,92
Charizard,Fight Area,34
Starmie,Cinnabar Island,65
Rhydon,Vermilion City,64
Articuno,Lilycove City,82
Drowzee,Vaniville Town,47
Tentacruel,Hearthome City,38
Moltres,Camphrier Town,61
Bellsprout,Cherrygrove City,41
Primeape,Saffron City,95
Seadra,Mauville City,4
Omastar,Camphrier Town,27
Dugtrio,Lavaridge Town,46
Growlithe,Fuchsia City,91
Krabby,Blackthorn City,92
Parasect,Pallet Town,96
Beedrill,Fallarbor Town,49
Nidoran,Verdanturf Town,99
Electabuzz,Nuvema Town,46
Seaking,Survival Area,47
Dewgong,Mistralton City,63
Scyther,Anville Town,63
Rhydon,Floaroma Town,20
Charmeleon,Lavender Town,69
Electrode,Fuchsia City,45
Tangela,Floccesy Town,83
Dodrio,Santalune City,44
Tentacruel,Opelucid City,8
Psyduck,Couriway Town,49
Flareon,Undella Town,60
Dratini,Mahogany Town,8
Butterfree,Pallet Town,59
Rattata,Lumiose City,93
Seaking,Dendemille Town,89
Slowpoke,Five Island,78
Kabuto,Fortree City,73
Cubone,Canalave City,18
Dragonair,Humilau City,64
Omanyte,Azalea Town,47
Exeggcute,Saffron City,55
Dragonite,Oreburgh City,64
Charmander,Driftveil City,48
Parasect,Fight Area,51
Haunter,Pacifidlog Town,79
Mankey,Icirrus City,55
Haunter,Fight Area,60
Omanyte,Floaroma Town,17
Graveler,Shalour City,89
Nidorino,Icirrus City,24
Shellder,Floccesy Town,94
Gastly,Aspertia City,12
Scyther,Ecruteak City,86
Rapidash,Ever Grande City,96
Sandshrew,Slateport City,89
Parasect,Couriway Town,49
Kingler,nil,69
Charizard,Ambrette Town,53
Rhyhorn,Sunyshore City,59
Zapdos,One Island,40
Goldeen,Goldenrod City,32
Wigglytuff,Dewford Town,23
Hypno,Resort Area,33
Ponyta,Nacrene City,14
Raticate,Camphrier Town,67
Tangela,Dendemille Town,6
Ivysaur,Lavaridge Town,17
Wigglytuff,Fuchsia City,63
Dragonite,Lacunosa Town,61
Marowak,Floccesy Town,7
Clefable,Six Island,94
Pidgeotto,Nimbasa City,15
Marowak,Castelia City,12
Goldeen,Canalave City,87
Meowth,Frontier Access,3
Farfetch'd,Vaniville Town,86
Poliwrath,Aquacorde Town,58
Snorlax,Olivine City,34
Nidoking,Rustboro City,96
Raichu,Sootopolis City,65
Parasect,Icirrus City,82
Onix,Camphrier Town,5
Seel,Aspertia City,10
Golbat,Vermilion City,98
Ivysaur,Safari Zone Gate,21
Ivysaur,Fight Area,44
Meowth,Icirrus City,39
Farfetch'd,Fallarbor Town,79
Electrode,Azalea Town,44
Pidgeotto,Lentimas Town,92
Gastly,Kiloude City,68
Aerodactyl,Veilstone City,57
Starmie,Violet City,27
Chansey,Geosenge Town,53
Golem,Mossdeep City,28
Blastoise,Floaroma Town,3
Machamp,Ever Grande City,38
Scyther,Geosenge Town,11
Dugtrio,Santalune City,23
Gastly,Lentimas Town,59
Moltres,Olivine City,48
Snorlax,Canalave City,26
Tentacool,Mahogany Town,34
Goldeen,Opelucid City,14
Voltorb,Littleroot Town,15
Mr.,Four Island,55
Slowbro,Lentimas Town,53
Nidoking,Aspertia City,13
Primeape,Four Island,42
Drowzee,Viridian City,45
Vileplume,Accumula Town,69
Dugtrio,Resort Area,38
Seadra,One Island,45
Onix,Shalour City,35
Raichu,Coumarine City,15
Chansey,Cyllage City,86
Hitmonchan,Celadon City,15
Cloyster,Floccesy Town,81
Ivysaur,Ever Grande City,84
Electabuzz,Goldenrod City,1
Tangela,Verdanturf Town,56
Ivysaur,Five Island,86
Rapidash,Dewford Town,46
Squirtle,Frontier Access,43
Doduo,Dewford Town,31
Diglett,Canalave City,7
Slowbro,Fight Area,52
Squirtle,Anville Town,33
Mankey,Coumarine City,96
Alakazam,Cherrygrove City,86
Magnemite,Sootopolis City,14
Exeggutor,Fallarbor Town,88
Pikachu,Seven Island,46
Porygon,Cerulean City,65
Lickitung,Viridian City,53
Seadra,Two Island,60
Gyarados,Canalave City,25
Flareon,Coumarine City,84
Tentacruel,Two Island,4
Wartortle,Lentimas Town,2
Rattata,Azalea Town,63
Ditto,Blackthorn City,61
Growlithe,Undella Town,53
Metapod,Three Island,94
Zubat,Safari Zone Gate,23
Golbat,Resort Area,69
Charmeleon,Celadon City,31
Spearow,Floccesy Town,85
Nidorino,Littleroot Town,40
Nidoking,Humilau City,68
Squirtle,Laverre City,59
Starmie,Anistar City,12
Jigglypuff,Camphrier Town,16
Omastar,nil,76
Zapdos,Azalea Town,74
Spearow,Eterna City,43
Nidorino,Lentimas Town,77
Meowth,Vaniville Town,47
Nidoran,Pallet Town,70
Arcanine,Black City,99
Venusaur,Driftveil City,32
Weezing,Couriway Town,11
Ponyta,Canalave City,77
Dewgong,Icirrus City,47
Arbok,Blackthorn City,74
Poliwag,Floaroma Town,70
Rhydon,Black City,90
Poliwrath,Ambrette Town,74
Weedle,Pacifidlog Town,51
Charizard,Three Island,32
Kabuto,Slateport City,96
Bellsprout,Fortree City,79
Gengar,Cerulean City,35
Persian,Violet City,43
Grimer,Celestic Town,4
Nidorina,Floccesy Town,85
Primeape,Petalburg City,92
Starmie,Lacunosa Town,3
Jynx,Nimbasa City,66
Marowak,Jubilife City,97
Venusaur,Solaceon Town,94
Hitmonchan,Viridian City,12
Jynx,Lilycove City,13
Kabutops,Opelucid City,77
Haunter,Ecruteak City,72
Ekans,Opelucid City,15
Vaporeon,Two Island,76
Rhyhorn,Fallarbor Town,49
Tentacruel,Floccesy Town,66
Mankey,Goldenrod City,60
Scyther,Hearthome City,57
Spearow,Three Island,42
Pidgey,White Forest,48
Nidorino,Striaton City,90
Lickitung,Solaceon Town,75
Onix,Laverre City,43
Fearow,Cyllage City,54
Kabutops,Lavender Town,3
Rapidash,Geosenge Town,46
Kakuna,Sandgem Town,59
Raticate,One Island,7
Rhydon,Snowbelle City,64
Scyther,Mistralton City,42
Caterpie,Cherrygrove City,65
Farfetch'd,Fuchsia City,24
Dodrio,Anistar City,62
Wartortle,Seven Island,61
Pidgey,Snowpoint City,87
Primeape,Castelia City,84
Nidoran,Mistralton City,25
Clefable,Laverre City,67
Weezing,Violet City,76
Weepinbell,Lentimas Town,91
Nidoran,Nuvema Town,69
Ditto,Fortree City,42
Charizard,Dewford Town,56
Omanyte,Cianwood City,68
Dugtrio,Shalour City,22
Alakazam,Lumiose City,57
Caterpie,Survival Area,14
Marowak,Vaniville Town,69
Nidoqueen,Santalune City,61
Lickitung,Mistralton City,46
Tentacruel,Couriway Town,62
Clefable,Black City,11
Hitmonlee,Undella Town,93
Drowzee,Mahogany Town,35
Victreebel,Two Island,66
Kingler,Lacunosa Town,44
Kingler,Violet City,2
Jigglypuff,Shalour City,58
Bulbasaur,Violet City,87
Weepinbell,Couriway Town,97
Machamp,Oldale Town,63
Mr.,Lavender Town,37
Dewgong,New Bark Town,63
Kabutops,Aquacorde Town,5
Flareon,Ever Grande City,55
Venusaur,Mahogany Town,62
Seel,Hearthome City,88
Exeggcute,Virbank City,36
Jolteon,Dendemille Town,44
Electabuzz,Sandgem Town,43
Seadra,Violet City,74
Shellder,Hearthome City,56
Raichu,Lacunosa Town,99
Omanyte,Nimbasa City,89
Drowzee,Four Island,75
Omastar,Ecruteak City,16
Arcanine,Vermilion City,71
Nidoran,Castelia City,84
Cloyster,Hearthome City,50
Charmeleon,Two Island,43
Nidorino,nil,19
Electabuzz,Slateport City,44
Omanyte,Anville Town,19
Blastoise,Mossdeep City,75
Pidgey,Celestic Town,14
Omastar,Frontier Access,66
Clefable,Pacifidlog Town,8
Gastly,Snowbelle City,55
Eevee,Nimbasa City,62
Nidoqueen,Sootopolis City,59
Kingler,Floaroma Town,94
Clefairy,Nimbasa City,86
Scyther,Camphrier Town,89
Vaporeon,Undella Town,24
Tauros,Goldenrod City,30
Graveler,Jubilife City,27
Gengar,Vaniville Town,77
Mr.,Cyllage City,61
Chansey,Mahogany Town,67
Poliwrath,Slateport City,8
Nidoqueen,nil,35
Graveler,Twinleaf Town,49
Krabby,Pastoria City,92
Raichu,Twinleaf Town,26
Butterfree,Slateport City,30
Omanyte,Hearthome City,89
Kadabra,Floaroma Town,19
Charizard,Four Island,63
Butterfree,Survival Area,81
Muk,Pastoria City,19
Rhydon,Celadon City,87
Blastoise,Pacifidlog Town,65
Kabuto,Shalour City,41
Zubat,Geosenge Town,37
Gengar,Eterna City,19
Cubone,Petalburg City,62
Rapidash,Castelia City,39
Pidgeotto,Undella Town,37
Hitmonlee,Canalave City,64
Dugtrio,Vermilion City,13
Onix,Six Island,61
Fearow,Coumarine City,40
Magikarp,Olivine City,21
Jolteon,Lavender Town,69
Primeape,Seven Island,67
Pinsir,Cianwood City,76
Clefairy,Frontier Access,87
Grimer,Floaroma Town,8
Cubone,Vaniville Town,94
Growlithe,Slateport City,6
Grimer,Floaroma Town,60
Clefairy,Lentimas Town,86
Nidorina,Azalea Town,73
Pinsir,Snowpoint City,23
Pinsir,Fortree City,29
Horsea,Accumula Town,12
Ditto,Accumula Town,19
Lapras,Blackthorn City,29
Jolteon,Nimbasa City,28
Pidgeotto,Fallarbor Town,49
Marowak,Anville Town,52
Cloyster,Kiloude City,22
Starmie,Frontier Access,42
Ivysaur,Hearthome City,87
Gastly,Hearthome City,69
Omanyte,Fight Area,70
Seadra,Cianwood City,91
Dodrio,Lentimas Town,21
Chansey,Lilycove City,76
Jynx,Pastoria City,89
Dratini,Fallarbor Town,5
Golbat,Canalave City,33
Horsea,Opelucid City,29
Grimer,Cinnabar Island,69
Arcanine,Two Island,56
Horsea,Pallet Town,83
Graveler,Oreburgh City,4
Butterfree,Violet City,32
Nidoran,Floaroma Town,73
Psyduck,Floaroma Town,65
Caterpie,Anistar City,71
Gloom,Floaroma Town,40
Wartortle,Floaroma Town,68
Dodrio,Four Island,83
Lapras,Floaroma Town,4
Mr.,Fallarbor Town,57
Wigglytuff,Fallarbor Town,85
Articuno,Mistralton City,25
Nidoqueen,Canalave City,79
Muk,Azalea Town,19
Ponyta,Sunyshore City,1
Chansey,Ambrette Town,61
Gengar,Ever Grande City,19
Zubat,Verdanturf Town,56
Cubone,Goldenrod City,34
Nidorino,Dendemille Town,95
Graveler,Laverre City,35
Poliwrath,Cerulean City,87
Wartortle,Azalea Town,81
Vileplume,Oreburgh City,88
Metapod,Pewter City,47
Cubone,Nimbasa City,42
Mankey,Nacrene City,92
Slowbro,Snowbelle City,4
Omastar,Humilau City,97
Flareon,Frontier Access,82
Krabby,Petalburg City,59
Geodude,Shalour City,32
Venonat,Anistar City,93
Cubone,Cherrygrove City,99
Mewtwo,New Bark Town,69
Pinsir,Violet City,48
Cubone,Fight Area,56
Venonat,Vaniville Town,99
Metapod,Striaton City,35
Machoke,Dendemille Town,14
Seadra,Driftveil City,62
Krabby,Virbank City,61
Gyarados,Pallet Town,31
Nidoran,Striaton City,87
Goldeen,Driftveil City,56
Bellsprout,Goldenrod City,71
Pidgey,Pewter City,36
Alakazam,Celadon City,84
Golem,Frontier Access,32
Gastly,Mistralton City,54
Metapod,Slateport City,33
Jolteon,Undella Town,90
Electabuzz,Canalave City,48
Raticate,Three Island,63
Zubat,Cianwood City,26
Machop,Slateport City,26
Magikarp,Opelucid City,90
Seaking,Aspertia City,87
Wartortle,Blackthorn City,9
Pidgeotto,Pallet Town,75
Gastly,Eterna City,32
Charizard,Lentimas Town,85
Sandshrew,Humilau City,27
Machoke,Petalburg City,87
Omanyte,Cherrygrove City,30
Gastly,Lentimas Town,76
Rhyhorn,Celadon City,90
Jynx,Striaton City,77
Hypno,Pewter City,83
Voltorb,Canalave City,87
Mr.,Cinnabar Island,96
Arbok,Hearthome City,9
Eevee,Twinleaf Town,70
Gastly,Nimbasa City,78
Alakazam,Floccesy Town,2
Alakazam,Sunyshore City,51
Electrode,Verdanturf Town,96
Electrode,Pewter City,1
Zubat,Canalave City,17
Pinsir,Olivine City,40
Bellsprout,Nuvema Town,1
Sandslash,Cinnabar Island,25
Hitmonlee,New Bark Town,11
Weedle,Pallet Town,12
Cubone,Lacunosa Town,34
Diglett,Mahogany Town,57
Arbok,Twinleaf Town,93
Machoke,Solaceon Town,12
Nidoran,Driftveil City,47
Golbat,Laverre City,51
Pikachu,Kiloude City,38
Fearow,Kiloude City,98
Pidgeot,Coumarine City,76
Shellder,Three Island,72
Kangaskhan,Mossdeep City,4
Rapidash,Resort Area,49
Raichu,Cianwood City,74
Meowth,Celadon City,44
Rattata,Dewford Town,65
Magikarp,Anistar City,65
Tangela,Survival Area,4
Golbat,Eterna City,98
Articuno,Striaton City,36
Slowbro,Ecruteak City,43
Koffing,Cherrygrove City,33
Gyarados,Aquacorde Town,64
Nidorina,Fuchsia City,20
Clefairy,Nuvema Town,40
Meowth,Three Island,99
Victreebel,Lentimas Town,42
Lickitung,Sunyshore City,81
Shellder,Goldenrod City,62
Geodude,Saffron City,80
Tentacool,Floccesy Town,92
Meowth,Nacrene City,85
Charmeleon,Lilycove City,37
Mr.,Driftveil City,87
Nidoqueen,Floccesy Town,99
Magnemite,Hearthome City,99
